Lon,Lat,Curie,Moho,LAB
-2500000.0,1250000.0,22.5,24.0,161.0
-2500000.0,1300000.0,22.0,25.0,146.0
-2500000.0,1400000.0,20.1,23.0,78.0
-2500000.0,1450000.0,19.3,23.0,70.0
-2500000.0,1500000.0,18.8,24.0,68.0
-2450000.0,1200000.0,26.0,23.0,148.0
-2450000.0,1250000.0,24.9,25.0,147.0
-2450000.0,1300000.0,25.0,25.0,132.0
-2450000.0,1350000.0,23.5,23.0,96.0
-2450000.0,1400000.0,22.1,22.0,79.0
-2450000.0,1450000.0,20.7,23.0,74.0
-2450000.0,1500000.0,19.7,24.0,70.0
-2450000.0,1550000.0,19.6,26.0,68.0
-2400000.0,1100000.0,33.9,24.0,119.0
-2400000.0,1150000.0,33.2,23.0,122.0
-2400000.0,1200000.0,28.7,24.0,126.0
-2400000.0,1250000.0,26.5,25.0,133.0
-2400000.0,1300000.0,26.0,24.0,121.0
-2350000.0,950000.0,25.2,20.0,137.0
-2350000.0,1050000.0,27.9,25.0,98.0
-2350000.0,1100000.0,30.8,25.0,95.0
-2350000.0,1150000.0,31.4,24.0,93.0
-2350000.0,1200000.0,27.3,24.0,103.0
-2350000.0,1250000.0,26.1,24.0,113.0
-2350000.0,1300000.0,25.4,22.0,104.0
-2300000.0,900000.0,21.6,17.0,137.0
-2300000.0,950000.0,23.0,21.0,105.0
-2300000.0,1000000.0,23.9,23.0,94.0
-2300000.0,1050000.0,24.4,25.0,90.0
-2300000.0,1100000.0,26.7,25.0,87.0
-2300000.0,1150000.0,27.9,24.0,85.0
-2300000.0,1200000.0,26.2,23.0,88.0
-2300000.0,1250000.0,24.7,22.0,95.0
-2250000.0,950000.0,21.4,20.0,93.0
-2250000.0,1000000.0,22.0,26.0,88.0
-2250000.0,1050000.0,22.7,26.0,82.0
-2250000.0,1100000.0,24.4,24.0,83.0
-2250000.0,1150000.0,25.8,23.0,84.0
-2250000.0,1200000.0,23.8,23.0,89.0
-2250000.0,1250000.0,23.2,22.0,103.0
-2200000.0,750000.0,19.3,21.0,87.0
-2200000.0,800000.0,18.9,20.0,87.0
-2200000.0,950000.0,21.0,23.0,86.0
-2200000.0,1000000.0,21.0,29.0,82.0
-2200000.0,1050000.0,21.5,27.0,81.0
-2200000.0,1100000.0,22.3,25.0,82.0
-2200000.0,1150000.0,22.7,23.0,85.0
-2200000.0,1200000.0,22.1,23.0,101.0
-2200000.0,1250000.0,22.0,24.0,141.0
-2150000.0,700000.0,18.5,21.0,84.0
-2150000.0,750000.0,18.8,22.0,82.0
-2150000.0,900000.0,22.0,23.0,83.0
-2150000.0,950000.0,21.6,31.0,80.0
-2150000.0,1000000.0,20.7,31.0,81.0
-2150000.0,1050000.0,20.6,28.0,80.0
-2150000.0,1100000.0,20.9,25.0,82.0
-2150000.0,1150000.0,21.4,24.0,89.0
-2150000.0,1200000.0,21.8,25.0,117.0
-2100000.0,550000.0,17.9,23.0,86.0
-2100000.0,600000.0,17.4,25.0,82.0
-2100000.0,700000.0,17.3,25.0,78.0
-2100000.0,750000.0,18.1,23.0,77.0
-2100000.0,800000.0,19.6,22.0,77.0
-2100000.0,850000.0,21.4,27.0,77.0
-2100000.0,900000.0,22.9,32.0,77.0
-2100000.0,950000.0,22.0,35.0,78.0
-2100000.0,1000000.0,20.1,32.0,79.0
-2100000.0,1050000.0,20.1,28.0,80.0
-2100000.0,1100000.0,20.6,26.0,84.0
-2100000.0,1150000.0,21.5,26.0,94.0
