Lon	Lat	Bedrock	AN1_Curie	AN1_Moho	AN1_LAB	LitMod_Curie	LitMode_Moho	LitMod_LAB	Martos_Curie	ANT_Moho	Baranov_Moho	CRUST1_Moho	GravInv_Moho	Kriging_Moho
-2500000.0	1250000.0	560	22.5	24.0	161.0	43.0	23.4	113.0	20.0	35.7	35.7	30.6	29.4	39.7
-2500000.0	1300000.0	-22	22.0	25.0	146.0	41.0	21.4	105.3	21.0	35.9	35.9	30.7	29.3	35.1
-2500000.0	1400000.0	-12	20.1	23.0	78.0	37.9	21.1	96.6	24.0	37.0	36.9	29.6	28.7	33.2
-2500000.0	1450000.0	-26	19.3	23.0	70.0	36.9	19.9	91.8	25.0	36.0	37.2	28.9	28.5	32.9
-2500000.0	1500000.0	-82	18.8	24.0	68.0	35.9	19.7	88.5	26.0	33.5	37.5	29.5	27.3	32.5
-2450000.0	1200000.0	696	26.0	23.0	148.0	44.0	25.8	120.5	17.0	37.1	37.6	31.9	30.1	38.5
-2450000.0	1250000.0	751	24.9	25.0	147.0	41.1	28.0	117.7	18.0	37.8	37.8	32.5	30.6	38.0
-2450000.0	1300000.0	972	25.0	25.0	132.0	40.0	27.9	112.8	19.0	38.2	37.9	31.4	29.8	36.2
-2450000.0	1350000.0	238	23.5	23.0	96.0	38.0	27.5	108.0	21.0	38.5	38.0	30.9	29.3	35.0
-2450000.0	1400000.0	785	22.1	22.0	79.0	36.1	26.8	103.0	23.0	38.8	38.1	31.2	29.1	34.5
-2450000.0	1450000.0	796	20.7	23.0	74.0	36.0	25.0	97.1	24.0	38.7	37.8	30.1	28.7	34.1
-2450000.0	1500000.0	-319	19.7	24.0	70.0	35.1	21.1	90.4	26.0	37.4	37.8	29.9	28.1	33.2
-2450000.0	1550000.0	-254	19.6	26.0	68.0	36.0	19.9	87.2	26.0	35.0	38.1	30.2	27.8	31.3
-2400000.0	1100000.0	-43	33.9	24.0	119.0	46.2	25.6	125.1	13.0	37.5	37.9	30.7	30.5	38.7
-2400000.0	1150000.0	847	33.2	23.0	122.0	44.2	29.4	126.6	15.0	38.4	38.4	31.7	31.0	38.5
-2400000.0	1200000.0	1635	28.7	24.0	126.0	42.1	31.9	126.2	16.0	38.5	38.5	33.7	30.7	37.9
-2400000.0	1250000.0	636	26.5	25.0	133.0	41.9	26.6	116.9	17.0	38.9	38.6	34.0	30.2	37.3
-2400000.0	1300000.0	-49	26.0	24.0	121.0	41.8	22.8	109.1	18.0	39.2	38.4	30.3	29.6	36.7
-2350000.0	950000.0	-271	25.2	20.0	137.0	46.8	23.7	121.0	11.0	35.8	35.5	29.6	29.5	34.6
